time,Solar8000/ART_MBP,Solar8000/HR,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/ART_SBP,SNUADC/ART,Solar8000/CVP,SNUADC/ECG_V5
1609,73,106,107,55,100,16,NaN,NaN,36,99,NaN,8,NaN
1610,,,,,,,NaN,NaN,,,NaN,,NaN
1611,70,105,106,53,100,16,NaN,NaN,36,94,NaN,8,NaN
1612,,,,,,,NaN,NaN,,,NaN,,NaN
1613,70,105,106,53,100,16,NaN,NaN,36,94,NaN,8,NaN
1614,,,,,,,NaN,NaN,,,NaN,,NaN
1615,71,106,106,56,100,16,NaN,NaN,36,96,NaN,9,NaN
1616,,,,,,,NaN,NaN,,,NaN,,NaN
1617,73,107,107,57,100,16,NaN,NaN,36,101,NaN,9,NaN
1618,,,,,,,NaN,NaN,,,NaN,,NaN
1619,78,107,108,62,100,16,NaN,NaN,36,111,NaN,9,NaN
1620,,,,,,,NaN,NaN,,,NaN,,NaN
1621,80,108,108,63,100,16,NaN,NaN,36,113,NaN,9,NaN
1622,,,,,,,NaN,NaN,,,NaN,,NaN
1623,84,108,109,65,100,16,NaN,NaN,36,120,NaN,9,NaN
1624,,,,,,,NaN,NaN,,,NaN,,NaN
1625,84,108,109,63,100,16,NaN,NaN,36,118,NaN,9,NaN
1626,,,,,,,NaN,NaN,,,NaN,,NaN
1627,84,108,109,63,100,16,NaN,NaN,37,117,NaN,8,NaN
1628,,,,,,,NaN,NaN,,,NaN,,NaN
1629,82,108,109,61,100,16,NaN,NaN,37,112,NaN,8,NaN
1630,,,,,,,NaN,NaN,,,NaN,,NaN
1631,80,108,108,61,100,16,NaN,NaN,37,110,NaN,7,NaN
1632,,,,,,,NaN,NaN,,,NaN,,NaN
1633,76,107,108,57,100,16,NaN,NaN,37,102,NaN,7,NaN
1634,,,,,,,NaN,NaN,,,NaN,,NaN
1635,75,107,107,56,100,16,NaN,NaN,37,101,NaN,8,NaN
1636,,,,,,,NaN,NaN,,,NaN,,NaN
1637,72,106,107,55,100,16,NaN,NaN,37,96,NaN,8,NaN
1638,,,,,,,NaN,NaN,,,NaN,,NaN
1639,72,106,107,54,100,16,NaN,NaN,37,97,NaN,8,NaN
1640,,,,,,,NaN,NaN,,,NaN,,NaN
1641,72,106,107,56,100,16,NaN,NaN,36,99,NaN,9,NaN
1642,,,,,,,NaN,NaN,,,NaN,,NaN
1643,74,107,107,57,100,16,NaN,NaN,36,103,NaN,9,NaN
1644,,,,,,,NaN,NaN,,,NaN,,NaN
1645,76,107,108,60,100,16,NaN,NaN,36,107,NaN,8,NaN
1646,,,,,,,NaN,NaN,,,NaN,,NaN
1647,77,107,107,59,100,16,NaN,NaN,37,108,NaN,8,NaN
1648,,,,,,,NaN,NaN,,,NaN,,NaN
1649,77,106,107,60,100,16,NaN,NaN,37,107,NaN,8,NaN
1650,,,,,,,NaN,NaN,,,NaN,,NaN
1651,75,106,106,57,100,16,NaN,NaN,37,103,NaN,8,NaN
1652,,,,,,,NaN,NaN,,,NaN,,NaN
1653,76,105,106,58,100,16,NaN,NaN,37,105,NaN,8,NaN
1654,,,,,,,NaN,NaN,,,NaN,,NaN
1655,74,106,106,56,100,16,NaN,NaN,36,101,NaN,8,NaN
1656,,,,,,,NaN,NaN,,,NaN,,NaN
1657,76,106,107,59,100,16,NaN,NaN,36,107,NaN,7,NaN
1658,,,,,,,NaN,NaN,,,NaN,,NaN
1659,77,107,107,60,100,16,NaN,NaN,36,108,NaN,7,NaN
1660,,,,,,,NaN,NaN,,,NaN,,NaN
1661,79,107,107,61,100,16,NaN,NaN,36,111,NaN,6,NaN
1662,,,,,,,NaN,NaN,,,NaN,,NaN
1663,77,106,106,58,100,16,NaN,NaN,36,107,NaN,6,NaN
1664,,,,,,,NaN,NaN,,,NaN,,NaN
1665,76,105,105,57,100,16,NaN,NaN,36,107,NaN,8,NaN
1666,,,,,,,NaN,NaN,,,NaN,,NaN
1667,74,104,105,56,100,16,NaN,NaN,36,103,NaN,8,NaN
1668,,,,,,,NaN,NaN,,,NaN,,NaN
1669,75,105,106,57,100,16,NaN,NaN,36,104,NaN,8,NaN
1670,,,,,,,NaN,NaN,,,NaN,,NaN
1671,74,106,106,57,100,16,NaN,NaN,36,102,NaN,8,NaN
1672,,,,,,,NaN,NaN,,,NaN,,NaN
1673,72,106,106,55,100,16,NaN,NaN,36,98,NaN,8,NaN
1674,,,,,,,NaN,NaN,,,NaN,,NaN
1675,72,106,106,56,100,16,NaN,NaN,36,98,NaN,7,NaN
1676,,,,,,,NaN,NaN,,,NaN,,NaN
1677,72,106,107,55,100,16,NaN,NaN,36,98,NaN,7,NaN
1678,,,,,,,NaN,NaN,,,NaN,,NaN
1679,72,106,107,56,100,16,NaN,NaN,36,99,NaN,8,NaN
1680,,,,,,,NaN,NaN,,,NaN,,NaN
1681,71,106,107,55,100,16,NaN,NaN,36,97,NaN,8,NaN
1682,,,,,,,NaN,NaN,,,NaN,,NaN
1683,71,106,106,55,100,16,NaN,NaN,36,97,NaN,9,NaN
1684,,,,,,,NaN,NaN,,,NaN,,NaN
1685,70,105,106,52,100,16,NaN,NaN,36,94,NaN,9,NaN
1686,,,,,,,NaN,NaN,,,NaN,,NaN
1687,70,105,105,54,100,16,NaN,NaN,36,96,NaN,9,NaN
1688,,,,,,,NaN,NaN,,,NaN,,NaN
1689,69,105,105,53,100,16,NaN,NaN,36,94,NaN,9,NaN
1690,,,,,,,NaN,NaN,,,NaN,,NaN
1691,69,105,105,53,100,16,NaN,NaN,36,95,NaN,9,NaN
1692,,,,,,,NaN,NaN,,,NaN,,NaN
1693,69,105,106,54,100,16,NaN,NaN,36,95,NaN,9,NaN
1694,,,,,,,NaN,NaN,,,NaN,,NaN
1695,71,105,106,55,100,16,NaN,NaN,36,100,NaN,9,NaN
1696,,,,,,,NaN,NaN,,,NaN,,NaN
1697,72,106,107,56,100,16,NaN,NaN,36,100,NaN,9,NaN
1698,,,,,,,NaN,NaN,,,NaN,,NaN
1699,73,106,108,56,100,16,NaN,NaN,36,102,NaN,9,NaN
1700,,,,,,,NaN,NaN,,,NaN,,NaN
1701,74,106,107,58,100,16,NaN,NaN,36,103,NaN,9,NaN
1702,,,,,,,NaN,NaN,,,NaN,,NaN
1703,75,106,107,58,100,16,NaN,NaN,36,104,NaN,9,NaN
1704,,,,,,,NaN,NaN,,,NaN,,NaN
1705,76,106,107,59,100,16,NaN,NaN,36,105,NaN,9,NaN
1706,,,,,,,NaN,NaN,,,NaN,,NaN
1707,75,106,107,57,100,16,NaN,NaN,36,103,NaN,9,NaN
1708,,,,,,,NaN,NaN,,,NaN,,NaN
1709,75,106,106,58,100,16,NaN,NaN,36,105,NaN,9,NaN
1710,,,,,,,NaN,NaN,,,NaN,,NaN
1711,74,106,106,56,100,16,NaN,NaN,36,102,NaN,9,NaN
1712,,,,,,,NaN,NaN,,,NaN,,NaN
1713,76,106,107,59,100,16,NaN,NaN,36,105,NaN,10,NaN
1714,,,,,,,NaN,NaN,,,NaN,,NaN
1715,76,107,107,58,100,16,NaN,NaN,36,105,NaN,10,NaN
1716,,,,,,,NaN,NaN,,,NaN,,NaN
1717,78,107,108,60,100,16,NaN,NaN,36,110,NaN,9,NaN
1718,,,,,,,NaN,NaN,,,NaN,,NaN
1719,77,107,108,59,100,16,NaN,NaN,36,108,NaN,9,NaN
1720,,,,,,,NaN,NaN,,,NaN,,NaN
1721,79,108,108,61,100,16,NaN,NaN,36,111,NaN,9,NaN
1722,,,,,,,NaN,NaN,,,NaN,,NaN
1723,78,108,108,59,100,16,NaN,NaN,36,109,NaN,9,NaN
1724,,,,,,,NaN,NaN,,,NaN,,NaN
1725,79,108,108,60,100,16,NaN,NaN,36,110,NaN,9,NaN
1726,,,,,,,NaN,NaN,,,NaN,,NaN
1727,78,108,108,59,100,16,NaN,NaN,36,107,NaN,9,NaN
1728,,,,,,,NaN,NaN,,,NaN,,NaN
1729,77,108,109,58,100,16,NaN,NaN,36,107,NaN,9,NaN
1730,,,,,,,NaN,NaN,,,NaN,,NaN
1731,76,108,109,57,100,16,NaN,NaN,36,103,NaN,9,NaN
1732,,,,,,,NaN,NaN,,,NaN,,NaN
1733,75,108,109,57,100,16,NaN,NaN,36,103,NaN,9,NaN
1734,,,,,,,NaN,NaN,,,NaN,,NaN
1735,74,108,109,57,100,16,NaN,NaN,36,101,NaN,9,NaN
1736,,,,,,,NaN,NaN,,,NaN,,NaN
1737,73,109,109,56,100,16,NaN,NaN,36,100,NaN,9,NaN
1738,,,,,,,NaN,NaN,,,NaN,,NaN
1739,75,109,109,58,100,16,NaN,NaN,36,103,NaN,9,NaN
1740,,,,,,,NaN,NaN,,,NaN,,NaN
1741,74,109,109,56,100,16,NaN,NaN,36,101,NaN,9,NaN
1742,,,,,,,NaN,NaN,,,NaN,,NaN
1743,77,109,110,61,100,16,NaN,NaN,36,105,NaN,9,NaN
1744,,,,,,,NaN,NaN,,,NaN,,NaN
1745,74,112,107,56,100,16,NaN,NaN,36,103,NaN,9,NaN
1746,,,,,,,NaN,NaN,,,NaN,,NaN
1747,75,110,107,58,100,16,NaN,NaN,36,106,NaN,10,NaN
1748,,,,,,,NaN,NaN,,,NaN,,NaN
1749,75,107,107,57,100,16,NaN,NaN,36,105,NaN,10,NaN
1750,,,,,,,NaN,NaN,,,NaN,,NaN
1751,77,109,110,59,100,16,NaN,NaN,36,109,NaN,9,NaN
1752,,,,,,,NaN,NaN,,,NaN,,NaN
1753,76,109,110,58,100,16,NaN,NaN,36,106,NaN,9,NaN
1754,,,,,,,NaN,NaN,,,NaN,,NaN
1755,76,109,110,58,100,16,NaN,NaN,36,107,NaN,9,NaN
1756,,,,,,,NaN,NaN,,,NaN,,NaN
1757,75,109,109,57,100,16,NaN,NaN,36,105,NaN,9,NaN
1758,,,,,,,NaN,NaN,,,NaN,,NaN
1759,75,109,110,57,100,16,NaN,NaN,36,105,NaN,9,NaN
1760,,,,,,,NaN,NaN,,,NaN,,NaN
1761,74,109,110,56,100,16,NaN,NaN,36,102,NaN,9,NaN
1762,,,,,,,NaN,NaN,,,NaN,,NaN
1763,73,109,110,55,100,16,NaN,NaN,36,101,NaN,8,NaN
1764,,,,,,,NaN,NaN,,,NaN,,NaN
1765,72,109,110,56,100,16,NaN,NaN,36,100,NaN,8,NaN
1766,,,,,,,NaN,NaN,,,NaN,,NaN
1767,71,109,110,54,100,16,NaN,NaN,36,98,NaN,8,NaN
1768,,,,,,,NaN,NaN,,,NaN,,NaN
1769,72,109,110,56,100,16,NaN,NaN,36,100,NaN,8,NaN
1770,,,,,,,NaN,NaN,,,NaN,,NaN
1771,72,109,110,55,100,16,NaN,NaN,36,101,NaN,8,NaN
1772,,,,,,,NaN,NaN,,,NaN,,NaN
1773,74,109,110,57,100,16,NaN,NaN,36,105,NaN,8,NaN
1774,,,,,,,NaN,NaN,,,NaN,,NaN
1775,74,109,110,56,100,16,NaN,NaN,36,103,NaN,8,NaN
1776,,,,,,,NaN,NaN,,,NaN,,NaN
1777,75,110,110,57,100,16,NaN,NaN,36,106,NaN,9,NaN
1778,,,,,,,NaN,NaN,,,NaN,,NaN
1779,74,110,111,56,100,16,NaN,NaN,36,103,NaN,9,NaN
1780,,,,,,,NaN,NaN,,,NaN,,NaN
1781,74,110,110,56,100,16,NaN,NaN,36,104,NaN,9,NaN
1782,,,,,,,NaN,NaN,,,NaN,,NaN
1783,72,110,110,54,100,16,NaN,NaN,36,101,NaN,9,NaN
1784,,,,,,,NaN,NaN,,,NaN,,NaN
1785,71,109,110,54,100,16,NaN,NaN,36,99,NaN,9,NaN
1786,,,,,,,NaN,NaN,,,NaN,,NaN
1787,70,109,110,54,100,16,NaN,NaN,36,98,NaN,9,NaN
1788,,,,,,,NaN,NaN,,,NaN,,NaN
1789,71,109,110,54,100,16,NaN,NaN,36,98,NaN,9,NaN
1790,,,,,,,NaN,NaN,,,NaN,,NaN
1791,71,109,110,55,100,16,NaN,NaN,36,98,NaN,9,NaN
1792,,,,,,,NaN,NaN,,,NaN,,NaN
1793,71,110,110,53,100,16,NaN,NaN,36,98,NaN,9,NaN
1794,,,,,,,NaN,NaN,,,NaN,,NaN
1795,71,110,110,55,100,16,NaN,NaN,36,99,NaN,9,NaN
1796,,,,,,,NaN,NaN,,,NaN,,NaN
1797,71,109,110,54,100,16,NaN,NaN,36,98,NaN,9,NaN
1798,,,,,,,NaN,NaN,,,NaN,,NaN
1799,71,110,110,55,100,16,NaN,NaN,36,100,NaN,9,NaN
1800,,,,,,,NaN,NaN,,,NaN,,NaN
1801,71,110,110,54,100,16,NaN,NaN,36,99,NaN,9,NaN
1802,,,,,,,NaN,NaN,,,NaN,,NaN
1803,73,110,111,56,100,16,NaN,NaN,36,103,NaN,9,NaN
1804,,,,,,,NaN,NaN,,,NaN,,NaN
1805,72,110,111,55,100,16,NaN,NaN,36,102,NaN,9,NaN
1806,,,,,,,NaN,NaN,,,NaN,,NaN
1807,73,110,111,56,100,16,NaN,NaN,36,104,NaN,8,NaN
1808,,,,,,,NaN,NaN,,,NaN,,NaN
1809,72,110,111,55,100,16,NaN,NaN,36,101,NaN,8,NaN
1810,,,,,,,NaN,NaN,,,NaN,,NaN
1811,73,110,111,55,100,16,NaN,NaN,36,102,NaN,8,NaN
1812,,,,,,,NaN,NaN,,,NaN,,NaN
1813,72,110,111,55,100,16,NaN,NaN,36,101,NaN,8,NaN
1814,,,,,,,NaN,NaN,,,NaN,,NaN
1815,73,110,111,56,100,16,NaN,NaN,36,104,NaN,8,NaN
1816,,,,,,,NaN,NaN,,,NaN,,NaN
1817,73,110,111,56,100,16,NaN,NaN,36,102,NaN,8,NaN
1818,,,,,,,NaN,NaN,,,NaN,,NaN
1819,73,110,111,55,100,16,NaN,NaN,36,103,NaN,7,NaN
1820,,,,,,,NaN,NaN,,,NaN,,NaN
1821,71,110,110,55,100,16,NaN,NaN,36,100,NaN,7,NaN
1822,,,,,,,NaN,NaN,,,NaN,,NaN
1823,70,110,110,54,100,16,NaN,NaN,36,98,NaN,6,NaN
1824,,,,,,,NaN,NaN,,,NaN,,NaN
1825,70,110,109,54,100,16,NaN,NaN,36,98,NaN,6,NaN
1826,,,,,,,NaN,NaN,,,NaN,,NaN
1827,68,110,111,53,100,16,NaN,NaN,36,94,NaN,6,NaN
1828,,,,,,,NaN,NaN,,,NaN,,NaN
1829,71,110,111,56,100,16,NaN,NaN,36,100,NaN,6,NaN
1830,,,,,,,NaN,NaN,,,NaN,,NaN
1831,71,110,111,54,100,16,NaN,NaN,36,98,NaN,6,NaN
1832,,,,,,,NaN,NaN,,,NaN,,NaN
1833,71,110,110,54,100,16,NaN,NaN,36,98,NaN,7,NaN
1834,,,,,,,NaN,NaN,,,NaN,,NaN
1835,69,109,110,53,100,16,NaN,NaN,36,95,NaN,7,NaN
1836,,,,,,,NaN,NaN,,,NaN,,NaN
1837,70,109,110,55,100,16,NaN,NaN,35,98,NaN,7,NaN
1838,,,,,,,NaN,NaN,,,NaN,,NaN
1839,70,109,110,54,100,16,NaN,NaN,35,97,NaN,7,NaN
1840,,,,,,,NaN,NaN,,,NaN,,NaN
1841,71,110,110,54,100,16,NaN,NaN,35,100,NaN,8,NaN
1842,,,,,,,NaN,NaN,,,NaN,,NaN
1843,70,110,110,53,100,16,NaN,NaN,35,98,NaN,8,NaN
1844,,,,,,,NaN,NaN,,,NaN,,NaN
1845,71,110,110,55,100,16,NaN,NaN,36,101,NaN,8,NaN
1846,,,,,,,NaN,NaN,,,NaN,,NaN
1847,71,109,110,55,100,16,NaN,NaN,36,101,NaN,8,NaN
1848,,,,,,,NaN,NaN,,,NaN,,NaN
1849,71,110,110,54,100,16,NaN,NaN,36,99,NaN,8,NaN
1850,,,,,,,NaN,NaN,,,NaN,,NaN
1851,70,109,110,53,100,16,NaN,NaN,36,98,NaN,8,NaN
1852,,,,,,,NaN,NaN,,,NaN,,NaN
1853,69,109,110,52,100,16,NaN,NaN,36,96,NaN,8,NaN
1854,,,,,,,NaN,NaN,,,NaN,,NaN
1855,69,109,109,53,100,16,NaN,NaN,36,96,NaN,8,NaN
1856,,,,,,,NaN,NaN,,,NaN,,NaN
1857,69,109,109,52,100,16,NaN,NaN,36,95,NaN,8,NaN
1858,,,,,,,NaN,NaN,,,NaN,,NaN
1859,68,109,110,52,100,16,NaN,NaN,36,95,NaN,8,NaN
1860,,,,,,,NaN,NaN,,,NaN,,NaN
1861,67,109,109,50,100,16,NaN,NaN,36,92,NaN,8,NaN
1862,,,,,,,NaN,NaN,,,NaN,,NaN
1863,67,109,109,52,100,16,NaN,NaN,36,94,NaN,7,NaN
1864,,,,,,,NaN,NaN,,,NaN,,NaN
1865,65,109,109,49,100,16,NaN,NaN,36,90,NaN,7,NaN
1866,,,,,,,NaN,NaN,,,NaN,,NaN
1867,64,108,109,49,100,16,NaN,NaN,36,91,NaN,7,NaN
1868,,,,,,,NaN,NaN,,,NaN,,NaN
1869,62,108,108,48,100,16,NaN,NaN,36,87,NaN,7,NaN
1870,,,,,,,NaN,NaN,,,NaN,,NaN
1871,63,108,108,49,100,16,NaN,NaN,36,89,NaN,6,NaN
1872,,,,,,,NaN,NaN,,,NaN,,NaN
1873,62,108,108,49,100,16,NaN,NaN,36,87,NaN,6,NaN
1874,,,,,,,NaN,NaN,,,NaN,,NaN
1875,64,108,109,50,100,16,NaN,NaN,36,91,NaN,6,NaN
1876,,,,,,,NaN,NaN,,,NaN,,NaN
1877,64,108,109,51,100,16,NaN,NaN,35,91,NaN,6,NaN
1878,,,,,,,NaN,NaN,,,NaN,,NaN
1879,65,109,109,51,100,16,NaN,NaN,35,93,NaN,6,NaN
1880,,,,,,,NaN,NaN,,,NaN,,NaN
1881,66,109,109,52,100,16,NaN,NaN,35,93,NaN,6,NaN
1882,,,,,,,NaN,NaN,,,NaN,,NaN
1883,66,109,109,51,100,16,NaN,NaN,36,94,NaN,6,NaN
1884,,,,,,,NaN,NaN,,,NaN,,NaN
1885,66,108,109,52,100,16,NaN,NaN,36,94,NaN,6,NaN
1886,,,,,,,NaN,NaN,,,NaN,,NaN
1887,65,108,109,50,100,16,NaN,NaN,36,91,NaN,6,NaN
1888,,,,,,,NaN,NaN,,,NaN,,NaN
1889,65,108,108,51,100,16,NaN,NaN,35,92,NaN,6,NaN
1890,,,,,,,NaN,NaN,,,NaN,,NaN
1891,63,108,108,48,100,16,NaN,NaN,35,88,NaN,6,NaN
1892,,,,,,,NaN,NaN,,,NaN,,NaN
1893,62,108,108,48,100,16,NaN,NaN,35,87,NaN,6,NaN
1894,,,,,,,NaN,NaN,,,NaN,,NaN
1895,59,107,108,45,100,16,NaN,NaN,35,81,NaN,6,NaN
1896,,,,,,,NaN,NaN,,,NaN,,NaN
1897,59,107,108,46,100,16,NaN,NaN,35,83,NaN,6,NaN
1898,,,,,,,NaN,NaN,,,NaN,,NaN
1899,58,107,108,46,100,16,NaN,NaN,35,81,NaN,6,NaN
1900,,,,,,,NaN,NaN,,,NaN,,NaN
1901,60,108,108,48,100,16,NaN,NaN,35,86,NaN,6,NaN
1902,,,,,,,NaN,NaN,,,NaN,,NaN
1903,59,108,108,47,100,16,NaN,NaN,35,83,NaN,6,NaN
1904,,,,,,,NaN,NaN,,,NaN,,NaN
1905,60,108,108,47,100,16,NaN,NaN,35,86,NaN,6,NaN
1906,,,,,,,NaN,NaN,,,NaN,,NaN
1907,59,108,108,47,100,16,NaN,NaN,35,85,NaN,6,NaN
1908,,,,,,,NaN,NaN,,,NaN,,NaN
1909,60,108,109,48,100,16,NaN,NaN,35,87,NaN,5,NaN
1910,,,,,,,NaN,NaN,,,NaN,,NaN
1911,61,108,109,49,100,16,NaN,NaN,35,89,NaN,5,NaN
1912,,,,,,,NaN,NaN,,,NaN,,NaN
1913,61,108,109,48,100,16,NaN,NaN,35,87,NaN,5,NaN
1914,,,,,,,NaN,NaN,,,NaN,,NaN
1915,61,109,109,50,100,16,NaN,NaN,34,88,NaN,5,NaN
1916,,,,,,,NaN,NaN,,,NaN,,NaN
1917,61,109,109,48,100,16,NaN,NaN,34,86,NaN,5,NaN
1918,,,,,,,NaN,NaN,,,NaN,,NaN
1919,63,109,109,51,100,16,NaN,NaN,34,90,NaN,5,NaN
1920,,,,,,,NaN,NaN,,,NaN,,NaN
1921,62,109,109,49,100,16,NaN,NaN,34,88,NaN,5,NaN
1922,,,,,,,NaN,NaN,,,NaN,,NaN
1923,63,109,109,51,100,16,NaN,NaN,34,91,NaN,5,NaN
1924,,,,,,,NaN,NaN,,,NaN,,NaN
1925,62,109,109,49,100,16,NaN,NaN,34,88,NaN,5,NaN
1926,,,,,,,NaN,NaN,,,NaN,,NaN
1927,64,109,109,50,100,16,NaN,NaN,34,91,NaN,5,NaN
1928,,,,,,,NaN,NaN,,,NaN,,NaN
1929,62,109,109,49,100,16,NaN,NaN,34,87,NaN,5,NaN
1930,,,,,,,NaN,NaN,,,NaN,,NaN
1931,64,109,110,50,100,16,NaN,NaN,34,91,NaN,5,NaN
1932,,,,,,,NaN,NaN,,,NaN,,NaN
1933,62,109,109,49,100,16,NaN,NaN,34,87,NaN,5,NaN
1934,,,,,,,NaN,NaN,,,NaN,,NaN
1935,63,109,109,49,100,16,NaN,NaN,34,89,NaN,5,NaN
1936,,,,,,,NaN,NaN,,,NaN,,NaN
1937,61,109,109,48,100,16,NaN,NaN,34,85,NaN,5,NaN
1938,,,,,,,NaN,NaN,,,NaN,,NaN
1939,61,108,109,48,100,16,NaN,NaN,34,85,NaN,5,NaN
1940,,,,,,,NaN,NaN,,,NaN,,NaN
1941,60,108,109,48,100,16,NaN,NaN,33,83,NaN,5,NaN
1942,,,,,,,NaN,NaN,,,NaN,,NaN
1943,60,108,109,47,100,16,NaN,NaN,33,82,NaN,5,NaN
1944,,,,,,,NaN,NaN,,,NaN,,NaN
1945,60,108,108,48,100,16,NaN,NaN,33,83,NaN,5,NaN
1946,,,,,,,NaN,NaN,,,NaN,,NaN
1947,58,108,108,46,100,16,NaN,NaN,33,80,NaN,5,NaN
1948,,,,,,,NaN,NaN,,,NaN,,NaN
1949,58,107,108,46,100,16,NaN,NaN,34,81,NaN,5,NaN
1950,,,,,,,NaN,NaN,,,NaN,,NaN
1951,57,107,107,44,100,16,NaN,NaN,34,80,NaN,5,NaN
1952,,,,,,,NaN,NaN,,,NaN,,NaN
1953,59,106,107,46,100,16,NaN,NaN,34,84,NaN,5,NaN
1954,,,,,,,NaN,NaN,,,NaN,,NaN
1955,58,106,107,46,100,16,NaN,NaN,34,82,NaN,5,NaN
1956,,,,,,,NaN,NaN,,,NaN,,NaN
1957,61,107,107,49,100,16,NaN,NaN,34,87,NaN,5,NaN
1958,,,,,,,NaN,NaN,,,NaN,,NaN
1959,60,107,107,48,100,16,NaN,NaN,34,85,NaN,5,NaN
1960,,,,,,,NaN,NaN,,,NaN,,NaN
1961,63,107,108,51,100,16,NaN,NaN,33,92,NaN,5,NaN
1962,,,,,,,NaN,NaN,,,NaN,,NaN
1963,63,107,108,49,100,16,NaN,NaN,33,89,NaN,5,NaN
1964,,,,,,,NaN,NaN,,,NaN,,NaN
1965,65,107,108,51,100,16,NaN,NaN,33,93,NaN,5,NaN
1966,,,,,,,NaN,NaN,,,NaN,,NaN
1967,64,107,108,50,100,16,NaN,NaN,33,90,NaN,5,NaN
1968,,,,,,,NaN,NaN,,,NaN,,NaN
1969,65,107,107,51,100,16,NaN,NaN,34,93,NaN,6,NaN
1970,,,,,,,NaN,NaN,,,NaN,,NaN
1971,64,107,107,51,100,16,NaN,NaN,34,91,NaN,6,NaN
1972,,,,,,,NaN,NaN,,,NaN,,NaN
1973,64,106,107,49,100,16,NaN,NaN,34,89,NaN,6,NaN
1974,,,,,,,NaN,NaN,,,NaN,,NaN
1975,64,106,107,51,100,16,NaN,NaN,34,90,NaN,5,NaN
1976,,,,,,,NaN,NaN,,,NaN,,NaN
1977,64,106,107,49,100,16,NaN,NaN,34,89,NaN,5,NaN
1978,,,,,,,NaN,NaN,,,NaN,,NaN
1979,63,107,107,51,100,16,NaN,NaN,34,89,NaN,5,NaN
1980,,,,,,,NaN,NaN,,,NaN,,NaN
1981,63,107,107,49,100,16,NaN,NaN,34,87,NaN,5,NaN
1982,,,,,,,NaN,NaN,,,NaN,,NaN
1983,64,107,107,51,100,16,NaN,NaN,34,91,NaN,5,NaN
1984,,,,,,,NaN,NaN,,,NaN,,NaN
1985,63,107,107,50,100,16,NaN,NaN,34,89,NaN,5,NaN
1986,,,,,,,NaN,NaN,,,NaN,,NaN
1987,65,107,107,52,100,16,NaN,NaN,33,93,NaN,5,NaN
1988,,,,,,,NaN,NaN,,,NaN,,NaN
1989,65,107,107,51,100,16,NaN,NaN,33,91,NaN,5,NaN
1990,,,,,,,NaN,NaN,,,NaN,,NaN
1991,66,107,107,52,100,16,NaN,NaN,33,95,NaN,5,NaN
1992,,,,,,,NaN,NaN,,,NaN,,NaN
1993,65,106,107,52,100,16,NaN,NaN,33,93,NaN,5,NaN
1994,,,,,,,NaN,NaN,,,NaN,,NaN
1995,67,107,107,52,100,16,NaN,NaN,33,95,NaN,5,NaN
1996,,,,,,,NaN,NaN,,,NaN,,NaN
1997,66,107,107,52,100,16,NaN,NaN,33,93,NaN,5,NaN
1998,,,,,,,NaN,NaN,,,NaN,,NaN
1999,67,107,108,52,100,16,NaN,NaN,33,94,NaN,5,NaN
2000,,,,,,,NaN,NaN,,,NaN,,NaN
2001,66,107,108,51,100,16,NaN,NaN,33,92,NaN,5,NaN
2002,,,,,,,NaN,NaN,,,NaN,,NaN
2003,65,107,107,51,100,16,NaN,NaN,33,92,NaN,5,NaN
2004,,,,,,,NaN,NaN,,,NaN,,NaN
2005,65,107,107,51,100,16,NaN,NaN,33,91,NaN,5,NaN
2006,,,,,,,NaN,NaN,,,NaN,,NaN
2007,64,107,107,50,100,16,NaN,NaN,33,89,NaN,5,NaN
2008,,,,,,,NaN,NaN,,,NaN,,NaN
2009,64,107,107,51,100,16,NaN,NaN,33,91,NaN,5,NaN
2010,,,,,,,NaN,NaN,,,NaN,,NaN
2011,63,107,107,49,100,16,NaN,NaN,33,88,NaN,5,NaN
2012,,,,,,,NaN,NaN,,,NaN,,NaN
2013,64,107,107,51,100,16,NaN,NaN,33,91,NaN,5,NaN
2014,,,,,,,NaN,NaN,,,NaN,,NaN
2015,63,107,107,50,100,16,NaN,NaN,33,88,NaN,5,NaN
2016,,,,,,,NaN,NaN,,,NaN,,NaN
2017,65,107,107,52,100,16,NaN,NaN,33,93,NaN,5,NaN
2018,,,,,,,NaN,NaN,,,NaN,,NaN
2019,65,107,108,51,100,16,NaN,NaN,33,90,NaN,5,NaN
2020,,,,,,,NaN,NaN,,,NaN,,NaN
2021,67,107,108,53,100,16,NaN,NaN,34,95,NaN,5,NaN
2022,,,,,,,NaN,NaN,,,NaN,,NaN
2023,66,107,108,52,100,16,NaN,NaN,34,92,NaN,5,NaN
2024,,,,,,,NaN,NaN,,,NaN,,NaN
2025,67,107,108,53,100,16,NaN,NaN,34,96,NaN,5,NaN
2026,,,,,,,NaN,NaN,,,NaN,,NaN
2027,66,107,108,52,100,16,NaN,NaN,34,92,NaN,6,NaN
2028,,,,,,,NaN,NaN,,,NaN,,NaN
2029,66,107,108,52,100,16,NaN,NaN,34,94,NaN,6,NaN
2030,,,,,,,NaN,NaN,,,NaN,,NaN
2031,65,107,107,51,100,16,NaN,NaN,34,91,NaN,6,NaN
2032,,,,,,,NaN,NaN,,,NaN,,NaN
2033,65,107,108,51,100,16,NaN,NaN,33,92,NaN,6,NaN
